h3_index,bike_path_length,geometry,main_roads_length,walks_length,green_space_area,service_amenity_count,population_density,distance_to_city_center
877ab6568ffffff,2306.5911762300457,"POLYGON ((4.894368668042956 52.43661105661742, 4.905869213482816 52.43608329845931, 4.912492267452772 52.42611571124485, 4.907615162831857 52.416674029357814, 4.896113146026104 52.41720091308762, 4.889489705138003 52.42717035329428, 4.894368668042956 52.43661105661742, 4.894368668042956 52.43661105661742))",9907.69847971892,100280.20769299117,442202.8233106282,1016,64039735021.475105,9818.595496449607
877ab619dffffff,33152.59401191573,"POLYGON ((4.846941896638828 52.39044107721625, 4.8584529638849725 52.38991527482257, 4.865077877384851 52.37993981249619, 4.860192109742957 52.37048829948677, 4.848679570623445 52.37101322551781, 4.842054270949831 52.380990541082404, 4.846941896638828 52.39044107721625, 4.846941896638828 52.39044107721625))",26937.496052454684,148921.92517417468,242382.3281490503,456,64476839888.949776,4533.494433554112
877ab6468ffffff,580.1371086277596,"POLYGON ((5.02120770368403 52.363144726880726, 5.032697367214333 52.36262057081301, 5.039322533361411 52.35264975070159, 5.0344584310470335 52.34320123688983, 5.022967305804658 52.34372451708525, 5.016341744517295 52.3536971871259, 5.02120770368403 52.363144726880726, 5.02120770368403 52.363144726880726))",0.0,17866.94474621889,239567.1192513139,2,64390127798.14284,15501.111309742
877ab6444ffffff,0.0,"POLYGON ((5.034036762260395 52.410881708145325, 5.045520474579195 52.41035544236975, 5.052143869809569 52.40039109397413, 5.047283946875369 52.39095116121887, 5.035798771507995 52.391476552827406, 5.029174982052522 52.401442751519504, 5.034036762260395 52.410881708145325, 5.034036762260395 52.410881708145325))",3080.665397178282,5880.849819869194,0.0,0,64088715018.63353,17261.90941951103
877ab6559ffffff,1878.4222627983333,"POLYGON ((4.979707869782464 52.44235385748663, 4.991196256369679 52.44182604954343, 4.997818756936715 52.43186309060459, 4.992953261556403 52.4224260881656, 4.981463407783448 52.422953022561124, 4.974840516506629 52.43291783310467, 4.979707869782464 52.44235385748663, 4.979707869782464 52.44235385748663))",3586.295504545433,23704.98482448414,78313.62434898685,15,64128977623.29514,15043.958745298185
877ab6082ffffff,3365.52061989649,"POLYGON ((4.953988445483532 52.346865273793476, 4.965488741570001 52.34634168626508, 4.972114794744987 52.33636577436542, 4.967240944304343 52.32691159928257, 4.955739183710384 52.327434309849984, 4.949112737993524 52.33741207262245, 4.953988445483532 52.346865273793476, 4.953988445483532 52.346865273793476))",21692.37107254514,184093.05154660542,131333.10489085718,6707,64509200561.50245,10053.964268355174
877ab618cffffff,26679.481967446613,"POLYGON ((4.814132835714862 52.37258831198367, 4.825649932977069 52.37206323175884, 4.832275618343048 52.36208406278609, 4.827384591588184 52.352628120622256, 4.81586602151544 52.35315232361985, 4.809239950938764 52.3631333461701, 4.814132835714862 52.37258831198367, 4.814132835714862 52.37258831198367))",12590.46016837648,108895.002767459,1417573.9596174008,288,63969537374.27846,8206.169622577369
877ab61adffffff,14700.572667903458,"POLYGON ((4.763150403939785 52.365232529545274, 4.774675065626144 52.36470765660697, 4.781301201452015 52.35472524066774, 4.776403058583299 52.34526584347268, 4.764876921774831 52.34578983852487, 4.758250402888265 52.35577410881997, 4.763150403939785 52.365232529545274, 4.763150403939785 52.365232529545274))",9191.945102946785,121024.31596987347,239009.79147922952,178,64388966832.32718,14037.814286456754
877ab6549ffffff,16679.394596183967,"POLYGON ((4.948735750388345 52.405125173094234, 4.96023164750326 52.40459895850807, 4.966855623265479 52.39462998172407, 4.961984092292035 52.38518536800577, 4.950486727946403 52.38571070754373, 4.943862361734796 52.395681536009434, 4.948735750388345 52.405125173094234, 4.948735750388345 52.405125173094234))",17506.323694962644,138008.80831428312,666572.8078743037,198,63987970925.33943,8077.674741517477
877ab61b1ffffff,0.0,"POLYGON ((4.790795403577518 52.44136320382301, 4.802309612548553 52.440834980818515, 4.808932868535394 52.43086322581724, 4.804042297406021 52.421417839164405, 4.792526611521604 52.421945187066015, 4.785902973611859 52.43191879688514, 4.790795403577518 52.44136320382301, 4.790795403577518 52.44136320382301))",8796.290504038105,37371.19269443676,17510.278489829998,41,64043052799.76579,15003.823764655683
877ab61a1ffffff,8589.513496861138,"POLYGON ((4.7596971735256535 52.40410138264709, 4.771218882234721 52.40357475585466, 4.777843607957529 52.39359697261996, 4.772947006558112 52.38414396144453, 4.761423820905337 52.38466971162958, 4.754798713527364 52.39464934975923, 4.7596971735256535 52.40410138264709, 4.7596971735256535 52.40410138264709))",8153.695625734597,52849.706719137816,1197043.4702043904,7,64445083600.732056,14555.969464050208
877ab608effffff,23819.890689397635,"POLYGON ((4.957489840406739 52.30799785070902, 4.9689930645978 52.307476017739916, 4.9756204982465055 52.2974954893576, 4.970745101571162 52.28803494378063, 4.959240414694745 52.288555898514346, 4.952612587107413 52.29853827722155, 4.957489840406739 52.30799785070902, 4.957489840406739 52.30799785070902))",15749.043504677082,153140.2811423646,428729.7506559047,767,63811456652.4627,15831.898067876247
877ab6193ffffff,4830.682698141097,"POLYGON ((4.859857910095524 52.43819464083954, 4.871363015720438 52.43766672780005, 4.877986142639393 52.42769775169413, 4.873104549121075 52.41825483518892, 4.861597970279813 52.41878187357533, 4.854974458104419 52.4287527032817, 4.859857910095524 52.43819464083954, 4.859857910095524 52.43819464083954))",21283.860080273073,57006.30296285386,242240.76893016673,42,64448915366.572586,10468.502195785542
877ab60a5ffffff,29643.479813141224,"POLYGON ((4.868557494369934 52.34107573016032, 4.880069957005074 52.340552196772705, 4.886696577083077 52.33057164814344, 4.881811123210717 52.32111278080642, 4.870297191901609 52.32163543634851, 4.863670183068552 52.33161783723452, 4.868557494369934 52.34107573016032, 4.868557494369934 52.34107573016032))",20959.135520028824,154004.15053800095,482166.88416727545,520,64210143751.26957,7889.530606056702
877ab654bffffff,7136.032051559209,"POLYGON ((4.9651024052914945 52.41404038361809, 4.976595281087217 52.41351380899972, 4.983218865921949 52.40354668372681, 4.97834996581828 52.39410428172237, 4.966855623265479 52.39462998172407, 4.96023164750326 52.40459895850807, 4.9651024052914945 52.41404038361809, 4.9651024052914945 52.41404038361809))",3894.6066510145893,12296.867642221543,5051.79992472276,17,64020714226.38943,10480.059577124908
877ab619bffffff,19367.505120644353,"POLYGON ((4.881470537661306 52.388863824402485, 4.892977042931057 52.38833817636126, 4.899601880574156 52.37836410522526, 4.894720600712533 52.36891382966207, 4.883212625417855 52.36943860156637, 4.87658739994 52.37941452533225, 4.881470537661306 52.388863824402485, 4.881470537661306 52.388863824402485))",21688.956848921545,175640.94779263367,28051.676921260154,2421,66933213543.825325,1165.1821598269246
877ab60a6ffffff,26694.766799006182,"POLYGON ((4.883212625417855 52.36943860156637, 4.894720600712533 52.36891382966207, 4.9013461354008925 52.35893744513177, 4.8964640832586985 52.34948398030686, 4.884954638847947 52.350007875435914, 4.8783287156254325 52.35998611232651, 4.883212625417855 52.36943860156637, 4.883212625417855 52.36943860156637))",20816.485649103433,163477.45873976458,183798.57495443,2246,64702705343.45144,2499.6578774369113
877ab60aeffffff,490.87527287398086,"POLYGON ((4.904834415808964 52.32006762326487, 4.916343775838665 52.31954512125058, 4.922971005209759 52.3095636562301, 4.918089265591989 52.30010284201061, 4.9065784396478795 52.30062446576816, 4.899950819165022 52.31060778216318, 4.904834415808964 52.32006762326487, 4.904834415808964 52.32006762326487))",5807.253094731588,29630.256963672313,70213.55904012742,15,64250563298.51899,11671.313416091774
877ab618affffff,28767.089096164083,"POLYGON ((4.848679570623445 52.37101322551781, 4.860192109742957 52.37048829948677, 4.8668177225753855 52.360510522921494, 4.861931183092761 52.35105581957988, 4.850417173009315 52.351579868609726, 4.843791173302769 52.36155949814371, 4.848679570623445 52.37101322551781, 4.848679570623445 52.37101322551781))",22495.68580314714,141053.53866721006,759745.8845966575,731,64887193727.526245,4682.169751076342
877ab61a0ffffff,4445.625186333551,"POLYGON ((4.757970462654228 52.42352754047303, 4.769490693510769 52.423000037712825, 4.776114712858568 52.41302457290365, 4.771218882234721 52.40357475585466, 4.7596971735256535 52.40410138264709, 4.7530727732249405 52.41407870261808, 4.757970462654228 52.42352754047303, 4.757970462654228 52.42352754047303))",171.71428789288203,37658.8018770555,17115.581929559045,22,63504051830.17262,16034.052894826904
877ab618effffff,35641.00892288303,"POLYGON ((4.830540188332516 52.38151598251966, 4.842054270949831 52.380990541082404, 4.848679570623445 52.37101322551781, 4.843791173302769 52.36155949814371, 4.832275618343048 52.36208406278609, 4.825649932977069 52.37206323175884, 4.830540188332516 52.38151598251966, 4.830540188332516 52.38151598251966))",23477.321821114063,143922.8560175125,342938.670912914,341,64445813179.29014,6161.033540550948
877ab6112ffffff,2123.6130790705583,"POLYGON ((4.74327399450815 52.395175615613375, 4.754798713527364 52.39464934975923, 4.761423820905337 52.38466971162958, 4.756524590366192 52.37521448445052, 4.7449983939360445 52.375739873264635, 4.738372905387664 52.38572136645967, 4.74327399450815 52.395175615613375, 4.74327399450815 52.395175615613375))",12745.978059162098,84922.60794418861,1142653.662726896,106,64443519940.83167,16022.145747873163
877ab6475ffffff,0.0,"POLYGON ((5.0141684518296445 52.44077058843, 5.025652259458594 52.44024293524487, 5.032274668645228 52.430281363478514, 5.027413662492696 52.42084559406129, 5.015928389533067 52.42137237392315, 5.009305587986407 52.431335796686795, 5.0141684518296445 52.44077058843, 5.0141684518296445 52.44077058843))",2859.57922935257,8160.608689856785,1943.2578640527208,1,64163952744.44913,17749.550058637455
877ab618bffffff,26746.930551646416,"POLYGON ((4.850417173009315 52.351579868609726, 4.861931183092761 52.35105581957988, 4.868557494369934 52.34107573016032, 4.863670183068552 52.33161783723452, 4.852154702931913 52.332141008624795, 4.845528004079904 52.34212295074179, 4.850417173009315 52.351579868609726, 4.850417173009315 52.351579868609726))",21867.243912370377,110006.4186286662,255713.20227437868,432,63931995726.74543,6961.466955384497
877ab60a0ffffff,28756.279520750366,"POLYGON ((4.884954638847947 52.350007875435914, 4.8964640832586985 52.34948398030686, 4.903090314102773 52.33950528376663, 4.898207489699704 52.33004863042774, 4.886696577083077 52.33057164814344, 4.880069957005074 52.340552196772705, 4.884954638847947 52.350007875435914, 4.884954638847947 52.350007875435914))",19962.574667316116,161656.1595459978,493124.06373112183,2778,64903899317.74675,6024.908042630966
877ab609affffff,10302.42686014167,"POLYGON ((5.006606421799652 52.33479671095647, 5.018100572835311 52.33427379218423, 5.024726821820389 52.32429881377784, 5.019859315060325 52.31484490447964, 5.008363702748838 52.315366946311464, 5.001737058401536 52.32534377454301, 5.006606421799652 52.33479671095647, 5.006606421799652 52.33479671095647))",13371.096500649428,22459.777241766493,647012.1552390167,8,63903485993.70085,16065.88718517223
877ab609dffffff,21812.26140041903,"POLYGON ((4.9738676881636685 52.31693337844681, 4.985367888676742 52.31641118328766, 4.991994927912023 52.306432505064066, 4.987122160976025 52.29697417200206, 4.9756204982465055 52.2974954893576, 4.9689930645978 52.307476017739916, 4.9738676881636685 52.31693337844681, 4.9738676881636685 52.31693337844681))",18377.475792438978,139622.92538821703,790365.6077691311,286,63842216075.229095,15530.91892093289
