h3_index,bike_path_length,geometry,main_roads_length,walks_length,green_space_area,service_amenity_count,population_density,distance_to_city_center
875262d09ffffff,538.0719834779655,"POLYGON ((20.112742826933864 50.02694513161871, 20.100639525574294 50.02364541773832, 20.092504577928185 50.03219164111059, 20.09647122035438 50.0440358291773, 20.108572104489237 50.0473368341171, 20.116708763284947 50.03879236048161, 20.112742826933864 50.02694513161871, 20.112742826933864 50.02694513161871))",4228.3153948936715,67783.36758011093,380795.56401436613,20,15327301577.334967,12125.185849399115
8752666d8ffffff,0.0,"POLYGON ((20.201434066540845 50.06191442665716, 20.18932944657299 50.058609411371656, 20.181184522168305 50.067155894290075, 20.18514251134645 50.07900563795445, 20.19724471192104 50.08231194319344, 20.205391342572234 50.073767215366374, 20.201434066540845 50.06191442665716, 20.201434066540845 50.06191442665716))",4632.074302326675,31605.293891025325,52427.91915726597,2,15565410208.260628,22211.123954507177
875262ceeffffff,11113.499575208521,"POLYGON ((19.894486268586967 50.06418529872306, 19.8823996274586 50.060890002629264, 19.87429075950271 50.06941048351688, 19.878266814507434 50.08122451628084, 19.890351039751003 50.084521094415976, 19.89846162573633 50.07600235829265, 19.894486268586967 50.06418529872306, 19.894486268586967 50.06418529872306))",11876.180820658894,219059.94711097208,203131.46663997034,924,14898870631.655014,13115.8996194571
875262c22ffffff,0.0,"POLYGON ((20.0442834130969 49.98676448196746, 20.032179767169847 49.9834697795833, 20.024052390155283 49.992018486335006, 20.028026943471044 50.003860151288244, 20.040128174314187 50.007156146837865, 20.048257266788728 49.99860918481883, 20.0442834130969 49.98676448196746, 20.0442834130969 49.98676448196746))",9362.560531331792,156171.5026705624,441440.7116141233,247,15393579304.107475,9943.214806810205
875262cecffffff,7187.798565237658,"POLYGON ((19.910547597348806 50.07929922225331, 19.89846162573633 50.07600235829265, 19.890351039751003 50.084521094415976, 19.894324708450192 50.09633494874019, 19.906408263478856 50.09963309370714, 19.91452056625351 50.091116103890414, 19.910547597348806 50.07929922225331, 19.910547597348806 50.07929922225331))",16205.731303065626,223211.84006794528,155540.63623020746,1114,14899838826.278568,12705.336881164505
875262cdcffffff,5208.565527805423,"POLYGON ((19.826091631211817 50.02408700027123, 19.814004757091055 50.02079669130141, 19.805903498965336 50.02931965537558, 19.80988739252719 50.04113118916887, 19.82197185294806 50.04442278227773, 19.83007483336961 50.035901558000404, 19.826091631211817 50.02408700027123, 19.826091631211817 50.02408700027123))",13269.513516661475,71141.34061606468,192796.3038258508,51,15674653793.749361,20098.62129677628
875262ce2ffffff,6966.502575210826,"POLYGON ((19.902753834310843 50.02349063530202, 19.890662363298738 50.02019790940074, 19.882552044969344 50.0287273626951, 19.886531478124194 50.04054780007944, 19.89862053450945 50.04384181209567, 19.90673257222931 50.035314101160104, 19.902753834310843 50.02349063530202, 19.902753834310843 50.02349063530202))",3742.815645095288,100695.2875601208,620613.7994722192,219,14883538736.733524,11700.959771449447
875262c2affffff,4847.555845816682,"POLYGON ((20.01574719224752 50.032782524761956, 20.00365010895347 50.02948552200407, 19.99552659887821 50.038022479289964, 19.999498457296948 50.04985469306597, 20.011593124297125 50.053152983888786, 20.019718349034775 50.044617773419866, 20.01574719224752 50.032782524761956, 20.01574719224752 50.032782524761956))",3106.368797884844,121562.9829972974,242167.87160320327,655,14858726837.71244,1519.306738957878
875262cd0ffffff,0.0,"POLYGON ((19.834328297525296 49.9833924031878, 19.822236597898804 49.980104668598536, 19.814133891004435 49.98863659418197, 19.818121159946383 50.00045451751659, 19.830210447136402 50.003743540313515, 19.83831487768451 49.99521335211499, 19.834328297525296 49.9833924031878, 19.834328297525296 49.9833924031878))",5371.811914552214,76584.0582402976,427638.36135595944,26,15788317934.353975,21281.833644339353
875262cf0ffffff,0.0,"POLYGON ((19.890809463317655 49.988013494992565, 19.87871491410452 49.984723628395216, 19.8706055947745 49.993259308442404, 19.874589103213538 50.005083116030136, 19.886681239136962 50.00837427181369, 19.894792279774418 49.99984033137099, 19.890809463317655 49.988013494992565, 19.890809463317655 49.988013494992565))",4056.8383135818476,80399.10154934812,482266.201916664,47,14874932547.73896,15445.673180389746
875262c50ffffff,7205.463299288715,"POLYGON ((19.946807652006576 50.089193522248124, 19.93472061166446 50.08589480407908, 19.926605865152787 50.09441453553341, 19.930576443857458 50.10623123751076, 19.942661066847556 50.109531236651016, 19.950777528346126 50.101013253390136, 19.946807652006576 50.089193522248124, 19.946807652006576 50.089193522248124))",15534.93197238945,201197.61922599372,408808.0162353467,398,15682460266.68467,10949.677261287423
8752666caffffff,0.0,"POLYGON ((20.213301771223406 50.097469389170364, 20.201200283720947 50.09416150759306, 20.193054369548687 50.10270172200181, 20.197008238435266 50.11454806068436, 20.20910730522984 50.117857229116964, 20.217254923706488 50.10931877256338, 20.213301771223406 50.097469389170364, 20.213301771223406 50.097469389170364))",920.8378539078963,18582.442234879854,6479.053789365513,1,15709337722.012207,25320.088363688345
875262d58ffffff,0.0,"POLYGON ((20.05977418094381 50.09855286937005, 20.047681579207122 50.09524986326895, 20.03955365154266 50.10377707555097, 20.043516615238797 50.11560554181548, 20.055606797974733 50.11890983082056, 20.063736435876173 50.11038437120625, 20.05977418094381 50.09855286937005, 20.05977418094381 50.09855286937005))",3137.8322124946044,66020.18149279777,207669.01884812076,68,15635919555.984577,12066.916990078964
875262c15ffffff,0.0,"POLYGON ((19.99189158391494 49.96174738649997, 19.979788313287205 49.95845611666434, 19.971666803563153 49.96700555254738, 19.975646845821007 49.97884451752864, 19.987747702825786 49.98213708159169, 19.995870931059528 49.97358938699572, 19.99189158391494 49.96174738649997, 19.99189158391494 49.96174738649997))",4969.606659219029,49330.76929613623,257302.3741016441,10,16086398077.542974,13359.477643022667
8752666deffffff,1590.0018320048082,"POLYGON ((20.205622430138387 50.04150917316075, 20.193515391412276 50.03820544988348, 20.185369753163624 50.04675644565235, 20.18932944657299 50.058609411371656, 20.201434066540845 50.06191442665716, 20.209581411719505 50.053365184767266, 20.205622430138387 50.04150917316075, 20.205622430138387 50.04150917316075))",2781.3336192013217,47057.151236585676,141966.14136445048,15,15264157541.902836,22306.285163898636
875262c06ffffff,0.0,"POLYGON ((20.0079735249658 49.97688223225022, 19.995870931059528 49.97358938699572, 19.987747702825786 49.98213708159169, 19.991725351094225 49.99397587915118, 20.00382553067623 49.99727001759751, 20.01195047617764 49.988724065842234, 20.0079735249658 49.97688223225022, 20.0079735249658 49.97688223225022))",7024.643171356689,44785.02585009714,963741.9406891089,18,15337032154.747364,10660.770821919386
875262d70ffffff,3527.0517786440155,"POLYGON ((20.144876796262327 50.05724357102854, 20.13277489362965 50.0539407048898, 20.12463652493561 50.06248342723382, 20.128598350090517 50.07432726342179, 20.140697834119912 50.07763141853761, 20.14883791145938 50.06909044903932, 20.144876796262327 50.05724357102854, 20.144876796262327 50.05724357102854))",8339.218749682375,48196.906273435256,417726.67373741505,78,14835047746.934261,15878.146701319818
875262c5effffff,0.0,"POLYGON ((19.922462425535027 50.11474647947914, 19.910379543916743 50.11144676786561, 19.902267970565543 50.1199592700365, 19.9062375638277 50.13176973532439, 19.918318027541943 50.13507072487267, 19.92643131575871 50.12655997174507, 19.922462425535027 50.11474647947914, 19.922462425535027 50.11474647947914))",5956.7624603601325,56575.10201293732,140520.82143380775,49,15705160184.505856,16132.736134180795
875262c73ffffff,3094.4782336622197,"POLYGON ((19.983070891598413 50.09909338760353, 19.97098279315481 50.09579281385832, 19.96286389027892 50.104313539907714, 19.966831372527455 50.11613309016775, 19.978917052855913 50.119434944848095, 19.987037668911896 50.11091596888121, 19.983070891598413 50.09909338760353, 19.983070891598413 50.09909338760353))",9450.084524585473,124114.15526422027,198945.70808624593,345,15676442930.773321,10810.454755431507
8752666daffffff,2325.3184593425813,"POLYGON ((20.185369753163624 50.04675644565235, 20.17326442400584 50.04345300793473, 20.165121207103883 50.05200124438792, 20.169081611718816 50.063851165575564, 20.181184522168305 50.067155894290075, 20.18932944657299 50.058609411371656, 20.185369753163624 50.04675644565235, 20.185369753163624 50.04675644565235))",0.0,34614.64123968316,81582.17625382025,5,15270988768.538422,20097.840199124854
